ADDRESS	KOR	WClass	ОСНОВА	ХВОСТ	GLOSS	TRANS	RUS	ContKOR	Comment
11 b 4	밋브디	P	mis-pu	ti	NEG	to be faithful			
11 b 4	못면	P	mwos-ho	mye	COORD	cannot			
11 b 4	우희	N	wu-h	uy	LOC	elder			웃사
11 b 5	엇디	P	es	ti	NEG	to obtain			hier 獲
11 b 5	못리라	P	mwos-ho	li-la	QUOT	cannot			
11 b 5	븡우의게	N	pung-wu	uy-key	DAT	good friend			hier 朋友
11 b 5	밋브미	V	mis-pu	m-i	NMNZ-NOM	to be faithful			
11 b 6	되이시니	P	twoy	i-si-ni	HONSub+PARA	to be			
11 b 6	어버의게	N	e-be	uy-key	DAT	father			
11 b 6	슌티	P	syun	thi	NEG	to obey			
11 b 6	못면	P	mwos-ho	myen	COORD	cannot			
11 b 6	븡우의게	N	pung-wu	uy-key	DAT	friend			
11 b 6	밋브디	NEG	mis-pu	ti	NEG	to be faithful			
11 b 7	못리라	P	mwos-ho	li-la	PROB-DECL	cannot			
11 b 7	시니라	P	ho	si-ni-la	HONSub+IND+DECL	to say			
